name,threelett,area,pop,pwpd,pwlogpd,popdens,gamma
Zimbabwe,ZWE,390760,15488743,684.3948975,4.733340263,39.63748337,0
Zambia,ZMB,752610,16186203,862.2224121,4.345392704,21.50676047,0
Yemen,YEM,527970,26426540,1658.529541,5.825610161,50.05310908,0
Vietnam,VNM,331230,90451864,3385.226074,6.639161587,273.0787187,0
Venezuela,VEN,912050,30613146,1106.963013,5.595453739,33.56520585,0
Vatican,VAT,0,0,0,0,0,0
Vanuatu,VUT,12190,192183.3125,663.7886353,4.569739342,15.7656532,0
Uzbekistan,UZB,447400,29346188,1031.382935,5.325028419,65.59273134,0
Uruguay,URY,176220,3269420.5,3550.389648,7.103881359,18.55306151,0
Federated States of Micronesia,FSM,700,32692.01758,129.3439941,4.647766113,46.70288225,0
Marshall Islands,MHL,180,4498.169922,1215.792603,7.002248764,24.9898329,0
United States of America,MNP,460,34848.94922,502.6074219,5.988839149,75.75858526,0
United States of America,VIR,350,67503.15625,511.5694275,6.022388935,192.8661607,0
United States of America,GUM,540,124625.1328,797.0844116,6.432229042,230.787283,0
United States of America,ASM,200,42551.19922,445.9968262,6.011164188,212.7559961,0
United States of America,PRI,8870,3544518.75,1268.534424,6.64098835,399.6075254,0
United States of America,USA,9831510,315811648,1424.75647,6.253282547,32.12239503,0
United Kingdom,SGS,0,0,0,0,0,0
United Kingdom,IOT,0,0,0,0,0,0
United Kingdom,SHN,0,0,0,0,0,0
United Kingdom,PCN,0,0,0,0,0,0
United Kingdom,AIA,0,0,0,0,0,0
United Kingdom,FLK,0,0,0,0,0,0
United Kingdom,CYM,263.9999962,19112.32813,743.5705566,6.234067917,72.39518334,0
United Kingdom,BMU,4290,25983.94141,1174.632935,7.060278893,6.056862799,0
United Kingdom,VGB,150,17647.74609,351.5722046,5.814467907,117.6516406,0
United Kingdom,TCA,950,19172.40234,497.8633118,5.938157558,20.18147615,0
United Kingdom,MSR,0,0,0,0,0,0
United Kingdom,JEY,0,0,0,0,0,0
United Kingdom,GGY,0,0,0,0,0,0
United Kingdom,IMN,570,77490.33594,709.6287842,5.92688942,135.9479578,0
United Kingdom,GBR,243610,62225632,2681.342041,7.208813667,255.4313534,0
United Arab Emirates,ARE,83600,8576670,568.8496094,5.745380402,102.5917464,0
Ukraine,UKR,603550,42346308,1216.112671,5.704616547,70.16205451,0
Uganda,UGA,241550,39035756,893.7675781,5.859797955,161.6052826,0
Turkmenistan,TKM,488100,5476910.5,601.8553467,3.278810978,11.22087789,0
Turkey,TUR,785350,75810480,3628.962402,6.104858875,96.53082065,0
Tunisia,TUN,163610,10697725,1499.417236,5.764109612,65.38552044,0
Trinidad and Tobago,TTO,5130,1193515.875,498.5372925,5.900910378,232.6541667,0
Tonga,TON,750,65493.03125,253.0552826,5.451063633,87.32404167,0
Togo,TGO,56790,7128214,1517.032715,5.799694538,125.5188237,0
East Timor,TLS,14870,1163719.375,976.9678955,5.320524693,78.25954102,0
Thailand,THA,513120,66960964,1795.210815,5.799652576,130.4976692,0
United Republic of Tanzania,TZA,947300,52912920,1752.958252,5.40089798,55.85656075,0
Tajikistan,TJK,141380,8582291,1235.879761,5.427250862,60.7037134,0
Taiwan,TWN,36193,22582756,6572.43457,8.042221069,623.9536927,0
Syria,SYR,185180,18420080,1861.095581,6.100256443,99.47121719,0
Switzerland,CHE,41290.40039,8251000.5,1254.850098,6.3862257,199.8285418,0
Sweden,SWE,447430,9035631,1031.847046,5.293394566,20.19451311,0
eSwatini,SWZ,17360,1258505.25,215.9750977,4.68805933,72.49454205,0
Suriname,SUR,163820,538547.4375,774.9314575,5.017907143,3.287433998,0
South Sudan,SDS,0,0,0,0,0,0
Sudan,SDN,,0,0,0,0,0
Sri Lanka,LKA,65610,19405428,1706.98584,6.637949467,295.7693644,0
Spain,ESP,505923.9844,44036528,2007.261841,6.291181564,87.04178762,0
South Korea,KOR,100295,46849232,6413.614258,7.835020065,467.1143327,0
South Africa,ZAF,1219090,54213960,2379.443359,6.669784546,44.47084301,0
Somalia,SOM,637660,7997641,674.2320557,3.812919378,12.54217138,0
Somaliland,SOL,0,0,0,0,0,0
Solomon Islands,SLB,28900,422507.2813,531.5147705,4.195773125,14.61962911,0
Slovakia,SVK,49030,5407228,454.1850281,5.349772453,110.284071,0
Slovenia,SVN,20675,2071474.75,493.2194519,5.495241642,100.1922491,0
Singapore,SGP,719.0000153,4689095.5,12787.51367,9.3854599,6521.690404,0
Sierra Leone,SLE,72300,5877991.5,1340.348877,5.269364357,81.30002075,0
Seychelles,SYC,460,65606.15625,727.6078491,6.485106468,142.6220788,0
Republic of Serbia,SRB,88360,7044298.5,1108.688843,5.816549301,79.72270824,0
Senegal,SEN,196710,14851832,3404.501221,5.737867355,75.50115398,0
Saudi Arabia,SAU,2149690,31452506,334.6911926,4.53517437,14.63118217,0
São Tomé and Principe,STP,960,139017.3906,610.7130127,5.736990452,144.8097819,0
San Marino,SMR,60,24816.82617,475.1423035,6.105865479,413.6137695,0
Samoa,WSM,2840,169578.7656,200.1706238,4.807637691,59.71083297,0
Saint Vincent and the Grenadines,VCT,390,54723.20313,329.4910583,5.574223518,140.3159054,0
Saint Lucia,LCA,620,156063.3906,452.5003357,5.882464409,251.7151462,0
Saint Kitts and Nevis,KNA,260,32266.65625,236.8926544,5.36207056,124.102524,0
Rwanda,RWA,26340,11542619,981.1189575,6.476685524,438.2163629,0
Russia,RUS,17098250,145137824,1960.208496,5.382827282,8.488460749,0
Romania,ROU,238400,19321570,1040.678711,5.48235321,81.04685403,0
Qatar,QAT,11610,2127126.5,3818.158447,7.387989044,183.2150301,0
Portugal,PRT,92225.5957,9198372,1537.784912,6.329278469,99.73773473,0
Poland,POL,312680,38632792,830.8827515,5.73880291,123.5537674,0
Philippines,PHL,300000,90728352,5266.069336,7.149765968,302.42784,0
Peru,PER,1285220,30712248,3353.574219,5.891105652,23.89649087,0
Paraguay,PRY,406751.9922,6499982,1255.691162,5.253847122,15.98020938,0
Papua New Guinea,PNG,462840,7420324,113.9136276,3.643830299,16.03215798,0
Panama,PAN,75420,3817418,1789.129395,5.852183819,50.61546009,0
Palau,PLW,460,4973.867188,37.0665741,3.31629777,10.81275476,0
Pakistan,PAK,796100,186833776,2479.477051,6.543763638,234.6863158,0
Oman,OMN,309500,4593198.5,330.068634,4.562325478,14.84070598,0
Norway,NOR,625217.1094,4770851,394.0214233,4.666953087,7.630710882,0
North Korea,PRK,120540,24465044,755.2259521,5.963479996,202.9620375,0
Nigeria,NGA,923770,180844896,1915.468384,6.105461121,195.7683146,0
Niger,NER,1267000,19867374,337.5419312,4.464794159,15.68064246,0
Nicaragua,NIC,130370,6033191,715.8317261,5.02384901,46.2774488,0
New Zealand,NZL,267710,4087545.75,1221.08252,6.164120197,15.26855833,0
New Zealand,NIU,0,0,0,0,0,0
New Zealand,COK,0,0,0,0,0,0
Netherlands,NLD,41540,16644701,1324.053345,6.716489792,400.6909244,0
Netherlands,ABW,180,79134.4375,1014.690857,6.77263546,439.6357639,0
Netherlands,CUW,444,140324.2656,855.7932129,6.536822319,316.0456433,0
Nepal,NPL,147180,29468940,2956.382324,6.467153549,200.2238076,0
Nauru,NRU,20,5591.008301,342.1217651,5.835166931,279.550415,0
Namibia,NAM,824290,2450764.5,1001.483643,4.631325245,2.973182375,0
Mozambique,MOZ,799380,27675058,678.0994263,4.652038097,34.62065351,0
Morocco,MAR,446550,34542896,3752.405762,6.594169617,77.35504647,0
Western Sahara,SAH,0,0,0,0,0,0
Montenegro,MNE,13810,619586.8125,88.93154907,4.223993301,44.86508418,0
Mongolia,MNG,1564120,2961477.25,622.4331055,4.013881207,1.893382381,0
Moldova,MDA,33850,3983814.5,418.0222778,5.244390965,117.6902363,0
Monaco,MCO,2,0,0,0,0,0
Mexico,MEX,1964380,126114568,3923.262939,7.063383579,64.20069844,0
Mauritius,MUS,2040,1164498.375,1523.785522,6.967194557,570.8325368,0
Mauritania,MRT,1030700,3970832.5,1593.290039,4.494728088,3.852558941,0
Malta,MLT,320,350438.0625,2698.840576,7.638550758,1095.118945,0
Mali,MLI,1240190,17663660,1763.140625,4.679172516,14.24270475,0
Maldives,MDV,300,2923.213623,2687.191895,7.896252155,9.74404541,0
Malaysia,MYS,330345,28802140,1560.758423,6.204172134,87.18806097,0
Malawi,MWI,118480,17192848,801.3811646,5.841880798,145.1118163,0
Madagascar,MDG,587295,24016984,1078.516724,4.768111706,40.89424225,0
Macedonia,MKD,25710,2091748.125,287.678894,5.051345348,81.3593203,0
Luxembourg,LUX,2590,585333.9375,774.7072144,6.04398632,225.9976593,0
Lithuania,LTU,65286.00098,2851015,478.3836365,4.840510845,43.66962224,0
Liechtenstein,LIE,160,25435.15234,211.7486267,5.310063839,158.9697021,0
Libya,LBY,1759540,6247263.5,283.3500977,3.699000359,3.550509508,0
Liberia,LBR,111370,4178029,1341.568115,5.056361198,37.5148514,0
Lesotho,LSO,30360,2098287.5,332.176239,4.836105824,69.11355402,0
Lebanon,LBN,10450,4737536,8375.43457,7.58093977,453.3527273,0
