hr_uid,region,area,province,province_abb,pop,pwpd,pwlogpd,popdens,gamma
4800,Entire Province,639928.6924856616,Alberta,AB,4054900.75,3675.0771484375,7.574141025543213,6.336488420685802,0.3941966812655772
4831,South Zone,65317.662361300005,Alberta,AB,297184.15625,2182.46826171875,7.0128912925720215,4.5498284155692374,0.44540387238733437
4832,Calgary Zone,38841.489988199995,Alberta,AB,1531029.375,4526.8701171875,8.028070449829102,39.41736981421478,0.35559508615830215
4833,Central Zone,93005.7083127,Alberta,AB,469241.34375,1777.1795654296875,6.427526473999023,5.045296167976442,0.4126028616840493
4834,Edmonton Zone,11224.2287509,Alberta,AB,1297843.75,4164.25634765625,7.9514594078063965,115.62876869343332,0.29622950384951197
4835,North Zone,431539.603073,Alberta,AB,459600.96875,2359.07177734375,6.530092239379883,1.065026165564353,0.4891522355830821
591,Fraser Health,15612.161066848912,BC,BC,1754070.25,5428.78076171875,8.169760704040527,112.35281537830262,0.31201344510162643
592,Interior Health,214309.1428224537,BC,BC,756262.9375,1983.3172607421875,6.953206539154053,3.528841222264291,0.4207639480543129
593,Vancouver Island Health,55649.53339442831,BC,BC,778306.375,2576.234619140625,7.341492176055908,13.985856260169916,0.3807488449130657
594,Northern Health,581525.0734486629,BC,BC,283042.65625,1548.2066650390625,6.600448131561279,0.48672476763804934,0.5026118585068976
595,Vancouver Coastal Health,50731.67448595295,BC,BC,1178207.875,8918.2431640625,8.653650283813477,23.22430487340277,0.4373264207242514
5900,Entire Province,917827.5852183468,BC,BC,4749891.0,5047.11083984375,7.866859436035156,5.175145175953743,0.41707407717979705
5911,East Kootenay Health Service Delivery Area,45056.3975525,BC,BC,79018.0625,1377.283447265625,6.654908657073975,1.7537589952221027,0.49421553090836595
5912,Kootenay-Boundary Health Service Delivery Area,28853.55968,BC,BC,81336.78125,1193.82861328125,6.524601936340332,2.818951358240177,0.4637546516677545
5913,Okanagan Health Service Delivery Area,21317.8596956,BC,BC,370244.8125,2361.974853515625,7.283538818359375,17.36782293282559,0.38561043051251803
5914,Thompson/Cariboo Health Service Delivery Area,119081.325894,BC,BC,225663.296875,1858.82275390625,6.670163631439209,1.8950351382203598,0.4763754743804975
5921,Fraser East Health Service Delivery Area,11781.399146,BC,BC,302047.3125,3492.1044921875,7.564149379730225,25.63764360725785,0.4045650696269199
5922,Fraser North Health Service Delivery Area,2962.44329545,BC,BC,662904.75,6783.2177734375,8.44643497467041,223.76959957956046,0.31687497590010244
5923,Fraser South Health Service Delivery Area,868.318625379,BC,BC,789118.3125,5032.26904296875,8.169145584106445,908.7888816798892,0.1794199662763642
5931,Richmond Health Service Delivery Area,151.5518413,BC,BC,209441.21875,8523.4453125,8.69533634185791,1381.9773943584544,0.23343834182572099
5932,Vancouver Health Service Delivery Area,133.867126251,BC,BC,674710.625,11140.89453125,9.04259967803955,5040.151707857849,0.10342168425893354
5933,North Shore/Coast Garibaldi Health Service Delivery Area,50446.2555184,BC,BC,294056.0,4099.568359375,7.731520652770996,5.82909468657678,0.4819979027559059
5941,South Vancouver Island Health Service Delivery Area,2375.40080435,BC,BC,379157.4375,3516.98681640625,7.727036952972412,159.61829970153266,0.2932597953845819
5942,Central Vancouver Island Health Service Delivery Area,12598.076470200001,BC,BC,273899.71875,1631.106689453125,6.952399253845215,21.74139198137854,0.35351529197794446
5943,North Vancouver Island Health Service Delivery Area,40676.0561199,BC,BC,125249.1875,1795.2088623046875,7.025245189666748,3.0791871053281437,0.47573723946785357
5951,Northwest Health Service Delivery Area,244315.708878,BC,BC,72446.203125,1556.6768798828125,6.625636100769043,0.29652699557348683,0.564334628321821
5952,Northern Interior Health Service Delivery Area,173810.662342,BC,BC,142470.4375,1558.9688720703125,6.669798851013184,0.819687558750952,0.5088592764113512
5953,Northeast Health Service Delivery Area,163398.702229,BC,BC,68125.921875,1516.6953125,6.428643226623535,0.4169306178425022,0.5548745719713489
4600,Entire Province,627799.7164625495,Manitoba,MB,1289767.375,3329.790771484375,7.313403129577637,2.054424908420517,0.45840524258283083
4601,Winnipeg Regional Health Authority,653.7933761720001,Manitoba,MB,721195.4375,4813.62646484375,8.196402549743652,1103.0938271700504,0.1591865477782199
4602,Prairie Mountain Health,74480.9970325,Manitoba,MB,169464.84375,1422.3856201171875,6.017378807067871,2.2752762516867695,0.46015587745977093
4603,Interlake-Eastern Regional Health Authority,99748.6692998,Manitoba,MB,129758.9375,1081.434326171875,5.757597923278809,1.3008588326126187,0.4707008220420394
4604,Northern Regional Health Authority,423421.71502,Manitoba,MB,73935.1328125,2699.80224609375,7.209428787231445,0.1746134649920062,0.6132805957601736
4605,Southern Health—Santé Sud,29494.5417345,Manitoba,MB,195412.859375,1238.96875,6.250954627990723,6.625390593759388,0.4004061015302241
1300,Entire Province,74527.12501577404,New Brunswick,NB,787387.75,1409.12890625,6.595202445983887,10.565116389949907,0.3497242616583544
1301,Zone 1 (Moncton area),10437.5056497,New Brunswick,NB,219116.203125,1805.59619140625,6.907955646514893,20.993157798319174,0.37040931583133707
1302,Zone 2 (Saint John area),11193.146232,New Brunswick,NB,183531.828125,1535.9583740234375,6.6413140296936035,16.396804287279146,0.3753270761669749
1303,Zone 3 (Fredericton area),24437.683842,New Brunswick,NB,185438.890625,1369.5576171875,6.53897762298584,7.588235113603284,0.40349910546009743
1304,Zone 4 (Edmundston area),7943.75436473,New Brunswick,NB,49299.42578125,888.3815307617188,6.233766078948975,6.206061204527897,0.42235932419844674
1305,Zone 5 (Campbellton area),5583.05639198,New Brunswick,NB,26751.951171875,1016.15478515625,6.2688984870910645,4.791631911564406,0.4699010621305383
1306,Zone 6 (Bathurst area),4783.76312613,New Brunswick,NB,78560.2890625,863.9005126953125,6.329703330993652,16.42227823392548,0.3523892583249978
1307,Zone 7 (Miramichi area),10148.215409299999,New Brunswick,NB,44689.09765625,876.7218627929688,6.166467666625977,4.4036410200059555,0.44123321552492645
1000,Entire Province,397619.64760698506,NL,NL,529848.9375,1770.1552734375,6.934023857116699,1.332552203314945,0.45907060874044553
1011,Eastern Regional Health Authority,21275.512312900002,NL,NL,322919.6875,2022.2027587890625,7.084221839904785,15.177998195803905,0.38405825023538354
1012,Central Regional Health Authority,47184.5409124,NL,NL,93745.90625,1275.2122802734375,6.653231143951416,1.9867928019908692,0.47762304424065055
1013,Western Regional Health Authority,34358.6424355,NL,NL,78287.0625,1502.258544921875,6.821857452392578,2.2785260694442435,0.49111743287800913
1014,Labrador-Grenfell Regional Health Authority,294800.951946,NL,NL,34896.296875,1368.40966796875,6.550110340118408,0.11837240227566195,0.6088072312480683
1200,Entire Province,57534.70952580969,Nova Scotia,NS,950349.875,2077.813720703125,6.85316276550293,16.517853011384013,0.3520515454061639
1201,Zone 1 - Western,19976.972003400002,Nova Scotia,NS,199333.40625,854.2661743164062,6.126133441925049,9.978159163264294,0.3510746111853161
1202,Zone 2 - Northern,12956.482349299999,Nova Scotia,NS,153010.25,1016.969482421875,6.290135860443115,11.80955184246183,0.36396794257115866
1203,Zone 3 - Eastern,16870.037747399998,Nova Scotia,NS,161941.703125,1123.531982421875,6.400713920593262,9.599368154938384,0.3808235737448225
1204,Zone 4 - Central,7731.21742574,Nova Scotia,NS,436064.53125,3363.75146484375,7.551087856292725,56.40308728068939,0.3486631740051031
6101,Northwest Territories,1277218.82644,NWT,NT,42315.00390625,2553.966064453125,7.093713283538818,0.0331305826615435,0.6684991061498525
6201,Nunavut,2010566.71144,Nunavut,NU,33776.0703125,2536.58544921875,7.110649108886719,0.01679927859161114,0.6898436797246021
3500,Entire Province,980244.4231909639,Ontario,ON,13763988.0,5662.56298828125,7.934364318847656,14.041383632864191,0.3621179553784135
3526,The District of Algoma Health Unit,44917.3570599,Ontario,ON,115560.0390625,1814.7020263671875,7.0119404792785645,2.5727257039721576,0.48636474903495075
3527,Brant County Health Unit,1204.7503769500001,Ontario,ON,150005.3125,2788.59814453125,7.4672746658325195,124.51152983222977,0.3150924138999458
3530,Durham Regional Health Unit,2738.3325482600003,Ontario,ON,663797.75,3960.8486328125,7.897221565246582,242.40947302831879,0.2613834098564433
3533,Grey Bruce Health Unit,9061.109136,Ontario,ON,162929.875,1041.3111572265625,6.138871192932129,17.98122862825653,0.34153425043508656
3534,Haldimand-Norfolk Health Unit,3051.39629854,Ontario,ON,111450.2890625,1077.317138671875,6.1442155838012695,36.52435742804878,0.3134742168513599
3535,"Haliburton, Kawartha, Pine Ridge District Health Unit",10260.7585184,Ontario,ON,176998.40625,1083.033447265625,6.244439125061035,17.250031362944505,0.34472651386346176
