province,province_abb,hr_uid,region,pop,area,popdens,pwpd_250m,pwpd_1km,pwpd_30as,pwlogpd_250m,pwlogpd_1km,pwlogpd_30as,gamma_250m,gamma_1km,gamma_30as
Alberta,AB,4800,Entire Province,4054770,660765,6.13647876,3675.169678,2219.216722,2416.19873,7.574177265,6.983474413,6.88876915,0.395400353,0.439554979,0.445935824
Alberta,AB,4831,South Zone,297182,65785,4.517477961,2182.487793,1205.361854,1308.314575,7.012965202,6.252463225,6.026403904,0.445690167,0.5036132,0.510980495
Alberta,AB,4832,Calgary Zone,1531029,39403,38.85552236,4526.870117,2841.020854,3086.744629,8.02807045,7.580318037,7.576547623,0.356287851,0.405599471,0.413460064
Alberta,AB,4833,Central Zone,469241,95308,4.923406215,1777.18103,951.9206048,1045.370117,6.427529335,5.554654332,5.294474602,0.413611926,0.459158663,0.467591551
Alberta,AB,4834,Edmonton Zone,1297844,11570,112.1735016,4164.254883,2598.670437,2824.960938,7.951457024,7.47963768,7.492126465,0.297989776,0.3358957,0.344805223
Alberta,AB,4835,North Zone,459472,448699,1.024009272,2359.495117,1025.621779,1139.167358,6.530085564,5.525695588,5.073227406,0.490443187,0.530874204,0.539005764
BC,BC,500,Entire Province,4658123,945413,4.927078461,5079.875977,3228.108756,3526.844482,7.87665844,7.378252892,7.330328941,0.419689703,0.471440105,0.477878678
BC,BC,591,Fraser Health,1742492,15661,111.2607188,5444.808594,3389.688529,3551.686035,8.173181534,7.780584763,7.807097912,0.312957354,0.353883984,0.358306655
BC,BC,592,Interior Health,756263,217224,3.481481904,1983.317993,988.0222562,1071.495239,6.953207493,6.134567721,5.889741898,0.421283623,0.459614834,0.466246336
BC,BC,593,Vancouver Island Health,725144,55538,13.05678073,2637.908203,1645.252166,1791.467773,7.370908737,6.856544927,6.828894138,0.387550286,0.443240886,0.451144133
BC,BC,594,Northern Health,279655,605914,0.461541864,1552.591187,745.569824,795.9204712,6.599225521,5.698318003,5.2368536,0.504806481,0.555183281,0.559573913
