rank_GPW_30as,rank_GPW_2.5am,rank_GHS_1km,name,threelett,area,pop,pwpd_GHS_1km,pwlogpd_GHS_1km,popdens,gamma_GHS_1km,pwpd_GPW_30as,pwlogpd_GPW_30as,pwpd_GPW_2.5am,pwlogpd_GPW_2.5am,pwpd_GPW_15am,pwlogpd_GPW_15am,pwpd_GPW_30am,pwlogpd_GPW_30am,pwpd_GPW_1deg,pwlogpd_GPW_1deg
1,30,7,Maldives,MDV,300,135202.5456,32249.36774,10.2415024,450.6751519,0.748714899,48710.44531,10.77750015,2687.191895,7.896252155,0,0,0,0,0,0
2,1,3,China,HKG,1105.999985,6164089.763,40797.41548,10.27919922,5573.318126,0.284030345,40210.25781,10.15986538,19165.58008,9.587386131,10852.19043,9.292121887,0,0,0,0
3,2,10,Singapore,SGP,719.0000153,5055247.678,23367.00741,9.875503498,7030.942379,0.182582799,18369.26172,9.707600594,12787.51367,9.3854599,8846.188477,9.087741852,0,0,0,0
4,4,22,Lebanon,LBN,10450,5039353.35,14834.89591,8.307306863,482.2347703,0.370237106,15458.11816,8.002432823,8375.43457,7.58093977,1870.198364,6.907855034,789.3129272,6.553239822,700.2134399,6.551385403
5,3,20,Egypt,EGY,1001450,89792833.05,15845.82985,8.899478927,89.66282196,0.374511153,11124.07227,8.201156616,8845.599609,8.078832626,3377.599121,7.534410477,2389.307861,7.238326073,1400.973633,6.677041054
6,9,45,Philippines,PHL,300000,91000953.67,9381.327352,8.005395948,303.3365122,0.272102722,8031.426758,7.392166138,5266.069336,7.149765968,2601.592529,6.715215683,1252.515381,6.430601597,1032.352417,6.446879387
7,5,33,Taiwan,TWN,36193,22776887.31,11099.77036,8.632758422,629.3174733,0.2734255,7864.570313,8.15182972,6572.43457,8.042221069,2889.463867,7.581205368,1235.791504,6.888167381,536.8790894,6.258858204
8,7,44,China,MAC,30.39999962,104171.4468,9557.994009,8.970868927,3426.692371,0.300424556,7239.959961,8.579075813,6285.578125,8.746012688,0,0,0,0,0,0
9,6,34,South Korea,KOR,100295,46725244.67,10892.07009,8.586870999,465.8781063,0.273697598,7095.50293,7.907970905,6413.614258,7.835020065,3808.04834,7.478198528,1567.994263,6.922996998,742.6184082,6.379633904
10,10,42,Bangladesh,BGD,147630,158087957.3,10022.44618,8.222409121,1070.838971,0.187892582,6278.669434,7.509277821,5103.373047,7.481628418,2482.152588,7.362832546,1941.869019,7.283304691,1543.417114,7.192612648
