name,threelett,area,pop,pwpd,pwlogpd,popdens,gamma
Zimbabwe,ZWE,390760.0,15399413.0,78.7412338256836,4.046281814575195,39.40887757191115,0.0
Zambia,ZMB,752610.0,15248374.0,68.44477081298828,3.5495643615722656,20.260658242648915,0.0
Yemen,YEM,527970.0,24981718.0,218.0029296875,5.131948947906494,47.31654828872853,0.0
Vietnam,VNM,331230.0,83428744.0,658.05859375,6.095000267028809,251.87556682667633,0.0
Venezuela,VEN,912050.0,25390104.0,253.1818084716797,4.725839138031006,27.838500082232333,0.0
Vatican,VAT,0.0,0.0,0.0,0.0,0.0,0.0
Vanuatu,VUT,12190.0,24104.19921875,12.315452575683594,2.510854721069336,1.9773748333675143,0.0
Uzbekistan,UZB,447400.0,23990186.0,174.4285888671875,4.752793788909912,53.6213366115333,0.0
Uruguay,URY,176220.0,3111702.25,142.76834106445312,4.240584373474121,17.658053853138124,0.0
Federated States of Micronesia,FSM,700.0,0.0,0.0,0.0,0.0,0.0
Marshall Islands,MHL,180.0,0.0,0.0,0.0,0.0,0.0
United States of America,MNP,460.0,0.0,0.0,0.0,0.0,0.0
United States of America,VIR,350.0,0.0,0.0,0.0,0.0,0.0
United States of America,GUM,540.0,0.0,0.0,0.0,0.0,0.0
United States of America,ASM,200.0,0.0,0.0,0.0,0.0,0.0
United States of America,PRI,8870.0,0.0,0.0,0.0,0.0,0.0
United States of America,USA,9831510.0,290441792.0,217.23056030273438,4.777637958526611,29.541931198768044,0.0
United Kingdom,SGS,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,IOT,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,SHN,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,PCN,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,AIA,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,FLK,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,CYM,263.999996185303,0.0,0.0,0.0,0.0,0.0
United Kingdom,BMU,4290.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,VGB,150.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,TCA,950.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,MSR,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,JEY,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,GGY,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,IMN,570.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,GBR,243610.0,56428408.0,665.744873046875,6.206223964691162,231.63420220844793,0.0
United Arab Emirates,ARE,83600.0,4252333.5,188.96499633789062,4.9601640701293945,50.865233253588514,0.0
Ukraine,UKR,603550.0,41957188.0,135.65126037597656,4.611424922943115,69.51733576339988,0.0
Uganda,UGA,241550.0,35372436.0,277.0976257324219,5.417748928070068,146.4393955702753,0.0
Turkmenistan,TKM,488100.0,6122264.0,18.94464874267578,2.7548794746398926,12.543052653144848,0.0
