name,threelett,area,pop,pwpd,pwlogpd,popdens,gamma
Zimbabwe,ZWE,390760.0,15488743.0,684.3948974609375,4.733340263366699,39.6374833657488,0.0
Zambia,ZMB,752610.0,16186203.0,862.222412109375,4.34539270401001,21.50676047355204,0.0
Yemen,YEM,527970.0,26426540.0,1658.529541015625,5.825610160827637,50.05310907816732,0.0
Vietnam,VNM,331230.0,90451864.0,3385.22607421875,6.639161586761475,273.07871871509224,0.0
Venezuela,VEN,912050.0,30613146.0,1106.9630126953125,5.59545373916626,33.565205854942164,0.0
Vatican,VAT,0.0,0.0,0.0,0.0,0.0,0.0
Vanuatu,VUT,12190.0,192183.3125,663.7886352539062,4.56973934173584,15.765653199343724,0.0
Uzbekistan,UZB,447400.0,29346188.0,1031.3829345703125,5.325028419494629,65.59273133661154,0.0
Uruguay,URY,176220.0,3269420.5,3550.3896484375,7.103881359100342,18.55306151401657,0.0
Federated States of Micronesia,FSM,700.0,32692.017578125,129.343994140625,4.64776611328125,46.702882254464285,0.0
Marshall Islands,MHL,180.0,4498.169921875,1215.7926025390625,7.002248764038086,24.989832899305554,0.0
United States of America,MNP,460.0,34848.94921875,502.607421875,5.988839149475098,75.75858525815218,0.0
United States of America,VIR,350.0,67503.15625,511.5694274902344,6.022388935089111,192.8661607142857,0.0
United States of America,GUM,540.0,124625.1328125,797.0844116210938,6.432229042053223,230.7872829861111,0.0
United States of America,ASM,200.0,42551.19921875,445.996826171875,6.01116418838501,212.75599609375,0.0
United States of America,PRI,8870.0,3544518.75,1268.534423828125,6.640988349914551,399.6075253664036,0.0
United States of America,USA,9831510.0,315811648.0,1424.7564697265625,6.25328254699707,32.12239503392663,0.0
United Kingdom,SGS,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,IOT,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,SHN,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,PCN,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,AIA,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,FLK,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,CYM,263.999996185303,19112.328125,743.570556640625,6.234067916870117,72.39518333774882,0.0
United Kingdom,BMU,4290.0,25983.94140625,1174.6329345703125,7.06027889251709,6.056862798659673,0.0
United Kingdom,VGB,150.0,17647.74609375,351.57220458984375,5.814467906951904,117.651640625,0.0
United Kingdom,TCA,950.0,19172.40234375,497.8633117675781,5.938157558441162,20.18147615131579,0.0
United Kingdom,MSR,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,JEY,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,GGY,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,IMN,570.0,77490.3359375,709.6287841796875,5.926889419555664,135.9479577850877,0.0
