rank_GHS_250m,rank_GHS_1km,rank_GPW_30as,fips_state,fips_county,county,countylong,state,stateabb,pop,landarea,popdens,pwpd_GHS_250m,pwpd_GHS_1km,pwpd_GPW_30as,pwpd_GPW_2.5as,pwlogpd_GHS_250m,pwlogpd_GHS_1km,pwlogpd_GPW_30as,pwlogpd_GPW_2.5as,gamma_GHS_250m,gamma_GHS_1km
1,1,1,36,61,New York,New York County,New York,NY,1606067.896,58.690498,27365.0412,42508.13672,28169.79446,35636.3125,25673.60938,10.51993084,10.13923036,10.39307022,10.13461399,0.064676914,0.007117382
2,2,2,36,5,Bronx,Bronx County,New York,NY,1379199.606,108.909571,12663.71351,30128.62695,21293.50868,22122.41992,15289.71094,10.0848875,9.78668449,9.843015671,9.529808044,0.114588126,0.110789806
3,21,20,51,710,Norfolk,Norfolk city,Virginia,VA,251417.2532,137.981426,1822.109399,28489.72461,3704.127435,4198.826172,1843.356323,8.363070488,7.750637476,7.888120174,7.487876892,0.360616203,0.143989392
4,3,3,36,47,Kings,Kings County,New York,NY,2494190.358,179.67131,13881.96233,23622.21289,17947.26518,18786.94531,15943.02246,9.921315193,9.703766883,9.765069962,9.637205124,0.066486664,0.049478142
5,4,4,36,81,Queens,Queens County,New York,NY,2201590.647,281.734463,7814.417248,19422.30078,13978.06069,15094.13672,10256.43262,9.557589531,9.299815675,9.390415192,9.156944275,0.108227567,0.103088499
6,5,5,34,17,Hudson,Hudson County,New Jersey,NJ,649879.9743,119.64083,5431.924655,15485.5459,10134.26661,12197.00098,9707.96875,9.450896263,9.0330027,9.256873131,8.988268852,0.140591627,0.130343747
7,426,477,51,81,Greensville,Greensville County,Virginia,VA,12322.15569,764.634553,16.11509137,14743.79785,1008.297955,1013.177917,148.0195618,6.724029064,5.079612295,4.782271385,4.238631248,0.723392519,0.622987627
8,6,6,6,75,San Francisco,San Francisco County,California,CA,790418.088,121.477743,6506.690596,13458.77734,9885.432968,10618.10645,7760.778809,9.271392822,9.032906408,9.094740868,8.902761459,0.093613847,0.0871364
9,572,668,5,79,Lincoln,Lincoln County,Arkansas,AR,13867.89858,1454.383536,9.535241729,12590.10156,855.6103791,807.177002,78.35905457,6.675377846,5.028379529,4.401154518,3.451175928,0.714970536,0.617496865
10,568,1776,22,125,West Feliciana,West Feliciana Parish,Louisiana,LA,15689.11414,1044.589938,15.01940003,12131.93848,857.6564043,331.6525574,118.1900482,7.14567852,5.439437887,4.651390076,3.940920115,0.688169712,0.581878856
11,7,7,25,25,Suffolk,Suffolk County,Massachusetts,MA,722997.5921,150.863059,4792.409732,10807.17871,7027.469023,7901.347168,5372.022949,9.03000164,8.670229988,8.802959442,8.52524662,0.10365816,0.076308778
12,251,365,12,119,Sumter,Sumter County,Florida,FL,122330.3505,1442.966763,84.77697039,10471.43359,1313.317691,1161.58728,447.9159546,7.234574318,6.413612075,6.279278755,5.605536938,0.479245378,0.376700014
13,9,9,11,1,District of Columbia,District of Columbia,District of Columbia,DC,604321.9403,158.340389,3816.600074,9838.501953,5996.715315,6462.105469,4287.641602,8.888243675,8.511162144,8.580887794,8.301621437,0.119485509,0.089215092
14,13,10,51,13,Arlington,Arlington County,Virginia,VA,207653.4074,67.332991,3083.977175,9254.811523,4716.866872,5336.669922,3812.025635,8.714585304,8.308007926,8.397706985,8.213525772,0.153217321,0.100940623
15,8,8,42,101,Philadelphia,Philadelphia County,Pennsylvania,PA,1499409.493,347.781835,4311.350801,9248.393555,6877.852664,7381.439941,5360.64502,8.951714516,8.68843783,8.759319305,8.498185158,0.087600146,0.079817006
16,727,448,13,309,Wheeler,Wheeler County,Georgia,GA,7963.550457,765.314383,10.40559362,9110.611328,734.6559166,1050.255371,80.8583374,6.334665775,4.872947206,4.561742783,3.660636425,0.718577619,0.641095622
17,11,16,51,510,Alexandria,Alexandria city,Virginia,VA,154894.3735,38.679383,4004.571983,8522.400391,4910.273051,4958.935547,2904.825684,8.728871346,8.383733283,8.379062653,7.969805717,0.127507708,0.055779956
18,503,858,28,133,Sunflower,Sunflower County,Mississippi,MS,27224.56503,1807.18701,15.06460863,8224.646484,926.5903734,673.2606201,196.7309723,7.029027939,5.925573925,5.711565018,4.530360699,0.614123748,0.549256441
19,392,1357,60,10,Eastern,Eastern District,American Samoa,AS,21326.50916,65.124866,327.4710639,8212.400391,1050.337141,450.5512085,344.8829956,8.409072876,6.622135313,5.975964069,5.813688278,0.464871553,0.279066394
20,271,373,48,25,Bee,Bee County,Texas,TX,31395.39009,2279.80949,13.7710586,7638.434082,1272.357331,1152.70166,193.7671661,7.172784805,6.113877146,5.836379528,4.57679224,0.601781502,0.585378545
21,19,19,15,3,Honolulu,Honolulu County,Hawaii,HI,984196.088,1555.472299,632.7313502,7631.625488,3954.146881,4208.044922,2280.380371,8.51375103,7.912935916,7.930736542,7.383484364,0.245996796,0.249332012
22,871,1170,48,313,Madison,Madison County,Texas,TX,14063.07914,1207.103453,11.65026834,7471.221191,637.6593816,519.3707275,52.73590851,6.571402073,5.154986771,4.450705528,3.344417572,0.655987963,0.564048327
