fips_state,fips_county,county,countylong,state,stateabb,landarea,pop,pwpd,pwlogpd,popdens,gamma
1,1,Autauga,Autauga County,Alabama,AL,1539.602137,56878.76953125,300.1900939941406,4.920992851257324,36.943810458773086,0.0
1,3,Baldwin,Baldwin County,Alabama,AL,4117.621645,205707.875,220.02255249023438,4.915170192718506,49.957935122521434,0.0
1,5,Barbour,Barbour County,Alabama,AL,2292.160139,25991.826171875,134.30442810058594,3.8455514907836914,11.339446022830868,0.0
1,7,Bibb,Bibb County,Alabama,AL,1612.167476,24224.587890625,69.69850158691406,3.5882575511932373,15.026098870775755,0.0
1,9,Blount,Blount County,Alabama,AL,1670.103866,61855.73046875,62.597984313964844,3.822758913040161,37.037056034663415,0.0
1,11,Bullock,Bullock County,Alabama,AL,1613.076054,11279.3720703125,73.15863037109375,3.264582872390747,6.99246141701915,0.0
1,13,Butler,Butler County,Alabama,AL,2012.002531,19719.01171875,64.31965637207031,3.3946824073791504,9.800689320678593,0.0
1,15,Calhoun,Calhoun County,Alabama,AL,1569.195268,122628.3203125,227.92056274414062,5.033232688903809,78.14726619000996,0.0
1,17,Chambers,Chambers County,Alabama,AL,1545.085607,33011.0625,173.60350036621094,4.355247974395752,21.365199669483427,0.0
1,19,Cherokee,Cherokee County,Alabama,AL,1433.623319,27174.65234375,41.83098602294922,3.3389692306518555,18.955224837375848,0.0
1,21,Chilton,Chilton County,Alabama,AL,1794.477075,46781.21875,67.85503387451172,3.785292148590088,26.06955497049189,0.0
1,23,Choctaw,Choctaw County,Alabama,AL,2365.869841,12389.494140625,16.080123901367188,2.235337495803833,5.236760672932133,0.0
1,25,Clarke,Clarke County,Alabama,AL,3207.494106,24554.6875,55.86988067626953,3.1197311878204346,7.6554115731865355,0.0
1,27,Clay,Clay County,Alabama,AL,1564.251834,12931.638671875,28.47930908203125,2.7957961559295654,8.266980028917134,0.0
1,29,Cleburne,Cleburne County,Alabama,AL,1450.663786,15658.4892578125,31.643409729003906,2.972172260284424,10.794016786610884,0.0
1,31,Coffee,Coffee County,Alabama,AL,1758.565919,52653.421875,213.8662109375,4.555957317352295,29.941113555152437,0.0
1,33,Colbert,Colbert County,Alabama,AL,1535.202321,52881.890625,231.7147674560547,4.763002395629883,34.44620288911093,0.0
1,35,Conecuh,Conecuh County,Alabama,AL,2202.007855,13257.169921875,33.46354293823242,2.548900604248047,6.02049165799865,0.0
1,37,Coosa,Coosa County,Alabama,AL,1685.850815,11705.626953125,21.96372413635254,2.573814868927002,6.943453625298986,0.0
1,39,Covington,Covington County,Alabama,AL,2669.134207,36788.76953125,95.04520416259766,3.673558235168457,13.783034751406937,0.0
1,41,Crenshaw,Crenshaw County,Alabama,AL,1576.952799,13770.306640625,24.305017471313477,2.6071865558624268,8.732224990727197,0.0
1,43,Cullman,Cullman County,Alabama,AL,1902.970816,78307.1171875,103.55978393554688,4.12833309173584,41.14993069210579,0.0
1,45,Dale,Dale County,Alabama,AL,1453.244559,49642.8203125,114.67737579345703,4.262735843658447,34.159990488221744,0.0
1,47,Dallas,Dallas County,Alabama,AL,2534.919607,42293.609375,216.05691528320312,4.46314811706543,16.68439869185958,0.0
