fips_state,fips_county,county,countylong,state,stateabb,landarea,pop,pwpd,pwlogpd,popdens,gamma
1,1,Autauga,Autauga County,Alabama,AL,1539.602137,62284.5546875,525.0882568359375,5.323764801025391,40.4549676768213,0.34926822371038246
1,3,Baldwin,Baldwin County,Alabama,AL,4117.621645,205731.875,355.9812316894531,5.27337121963501,49.963763729923755,0.23592125407380451
1,5,Barbour,Barbour County,Alabama,AL,2292.160139,26444.314453125,260.21063232421875,4.403281211853027,11.536852946348613,0.40271995816807
1,7,Bibb,Bibb County,Alabama,AL,1612.167476,24519.4140625,161.08645629882812,4.072238445281982,15.208974518786285,0.3195597093020392
1,9,Blount,Blount County,Alabama,AL,1670.103866,60120.37890625,110.56037902832031,4.096837043762207,35.99798798756269,0.15121316006203048
1,11,Bullock,Bullock County,Alabama,AL,1613.076054,10456.083984375,209.46092224121094,3.9949557781219482,6.482077493151479,0.47055836558276243
1,13,Butler,Butler County,Alabama,AL,2012.002531,20474.796875,213.9927520751953,3.9741249084472656,10.176327593794662,0.40041061308068476
1,15,Calhoun,Calhoun County,Alabama,AL,1569.195268,121422.609375,394.5951843261719,5.414831161499023,77.37890360181738,0.22140198705389721
1,17,Chambers,Chambers County,Alabama,AL,1545.085607,32760.34375,256.5378112792969,4.671999931335449,21.202931152539044,0.3395332624112041
1,19,Cherokee,Cherokee County,Alabama,AL,1433.623319,26836.05078125,69.43061828613281,3.62312650680542,18.719038973200462,0.18035138425101613
1,21,Chilton,Chilton County,Alabama,AL,1794.477075,45089.3671875,110.39502716064453,4.024587154388428,25.126744618623785,0.19754937045717263
1,23,Choctaw,Choctaw County,Alabama,AL,2365.869841,12748.8046875,39.43080520629883,2.6378331184387207,5.3886331642451495,0.25618239446573704
1,25,Clarke,Clarke County,Alabama,AL,3207.494106,24653.57421875,113.4453125,3.594280958175659,7.686241472005373,0.3334333174451292
1,27,Clay,Clay County,Alabama,AL,1564.251834,13532.69921875,70.60103607177734,3.1659934520721436,8.651227970208025,0.2854244753211728
1,29,Cleburne,Cleburne County,Alabama,AL,1450.663786,15401.498046875,70.50247955322266,3.3716824054718018,10.616862566992486,0.26006349374900645
1,31,Coffee,Coffee County,Alabama,AL,1758.565919,52444.6015625,381.7998352050781,4.9337897300720215,29.822368894947296,0.3412140397613153
1,33,Colbert,Colbert County,Alabama,AL,1535.202321,53565.640625,383.99749755859375,5.106607913970947,34.891583924982875,0.3269157286091373
1,35,Conecuh,Conecuh County,Alabama,AL,2202.007855,12788.205078125,93.25948333740234,3.032052993774414,5.807520190760174,0.3606842799110397
1,37,Coosa,Coosa County,Alabama,AL,1685.850815,11270.8701171875,44.24839782714844,2.980534553527832,6.68556791437533,0.2543555256869337
1,39,Covington,Covington County,Alabama,AL,2669.134207,37633.0234375,173.27520751953125,4.059851169586182,14.099337282780551,0.31798595681488023
1,41,Crenshaw,Crenshaw County,Alabama,AL,1576.952799,13984.28125,82.4640884399414,3.0885465145111084,8.86791364894873,0.302845021196786
1,43,Cullman,Cullman County,Alabama,AL,1902.970816,80682.4609375,179.90269470214844,4.356133460998535,42.398159897739596,0.1914022509533051
1,45,Dale,Dale County,Alabama,AL,1453.244559,50869.7578125,222.52255249023438,4.739171504974365,35.00426510972404,0.2540060045382769
1,47,Dallas,Dallas County,Alabama,AL,2534.919607,42208.5,465.3321533203125,5.030496120452881,16.65082390914656,0.4248950210280596
1,49,DeKalb,DeKalb County,Alabama,AL,2012.67648,73909.2265625,141.56922912597656,4.1818013191223145,36.721861311014074,0.17738627939425725
1,51,Elmore,Elmore County,Alabama,AL,1601.768864,84352.3046875,280.7801818847656,4.8909406661987305,52.661970514804565,0.2268206532080283
1,53,Escambia,Escambia County,Alabama,AL,2448.115116,37477.21875,237.51376342773438,4.491497993469238,15.30860150532235,0.3513757613577379
1,55,Etowah,Etowah County,Alabama,AL,1385.871922,103482.765625,382.7073669433594,5.229710102081299,74.66979017488168,0.22590214627111754
1,57,Fayette,Fayette County,Alabama,AL,1625.693288,16467.0078125,101.17044067382812,3.4063665866851807,10.129221750529858,0.3112629998375651
1,59,Franklin,Franklin County,Alabama,AL,1641.841404,31499.966796875,227.91539001464844,4.226343154907227,19.185754921353535,0.33427188771599525
1,61,Geneva,Geneva County,Alabama,AL,1487.897665,27354.1796875,138.25318908691406,3.890280246734619,18.384449637200017,0.27618733998925715
1,63,Greene,Greene County,Alabama,AL,1675.782059,8514.318359375,93.43409729003906,3.265176773071289,5.080802908497423,0.39221081881390996
1,65,Hale,Hale County,Alabama,AL,1667.917734,14876.173828125,121.90199279785156,3.6055920124053955,8.919009328145316,0.3524620266025111
1,67,Henry,Henry County,Alabama,AL,1454.926622,17721.16015625,104.25811004638672,3.6048614978790283,12.180105778729782,0.2948168322519712
1,69,Houston,Houston County,Alabama,AL,1501.819549,106814.1171875,499.6625061035156,5.558223247528076,71.12313677007543,0.26653062233740626
1,71,Jackson,Jackson County,Alabama,AL,2791.974032,52410.0,131.30825805664062,4.034920692443848,18.77166456396325,0.24515699685373346
1,73,Jefferson,Jefferson County,Alabama,AL,2878.5521,649027.75,907.3112182617188,6.402309894561768,225.4702112218153,0.17480098545644507
1,75,Lamar,Lamar County,Alabama,AL,1566.544637,13866.2197265625,69.44334411621094,3.1855413913726807,8.851468001012027,0.2800098369778569
1,77,Lauderdale,Lauderdale County,Alabama,AL,1730.146078,94241.015625,460.7500915527344,5.197098731994629,54.46997616174696,0.2863757205095283
1,79,Lawrence,Lawrence County,Alabama,AL,1788.864251,33638.8984375,85.38600158691406,3.8242552280426025,18.804612154720733,0.20203125761761537
1,81,Lee,Lee County,Alabama,AL,1573.514768,152473.90625,669.0035400390625,5.823306083679199,96.90020669065623,0.26247656776723044
1,83,Limestone,Limestone County,Alabama,AL,1450.277886,94225.828125,280.909912109375,5.018488883972168,64.97087836378965,0.20112543694806154
1,85,Lowndes,Lowndes County,Alabama,AL,1854.201377,10189.197265625,59.55546569824219,3.0301225185394287,5.495194530655879,0.3166734321512545
1,87,Macon,Macon County,Alabama,AL,1576.855716,20196.849609375,249.9520263671875,4.200146198272705,12.808305417193287,0.40351746920425174
1,89,Madison,Madison County,Alabama,AL,2076.111961,362107.1875,788.865478515625,6.237093925476074,174.41602105388574,0.19757822083367346
1,91,Marengo,Marengo County,Alabama,AL,2530.140237,20116.80859375,211.92710876464844,3.9164745807647705,7.95086703083407,0.41895720059144026
1,93,Marion,Marion County,Alabama,AL,1922.657342,30442.484375,101.07506561279297,3.7789125442504883,15.833546472369802,0.24515524403535086
1,95,Marshall,Marshall County,Alabama,AL,1465.531863,98471.3125,285.0929870605469,4.992559909820557,67.19151932897961,0.19825426010848346
1,97,Mobile,Mobile County,Alabama,AL,3184.15835,415258.9375,775.8339233398438,6.15440559387207,130.41403468517825,0.2210806548189042
1,99,Monroe,Monroe County,Alabama,AL,2656.46966,22236.9453125,123.93986511230469,3.7430367469787598,8.370863649351824,0.34180390788289955
1,101,Montgomery,Montgomery County,Alabama,AL,2034.01778,229936.953125,1009.7852783203125,6.4985270500183105,113.0456947750968,0.28744648821067903
1,103,Morgan,Morgan County,Alabama,AL,1501.156832,122828.703125,580.063232421875,5.552422046661377,81.82269867256615,0.267785736521561
1,105,Perry,Perry County,Alabama,AL,1863.900621,9929.236328125,167.3807373046875,3.7177913188934326,5.327127539019689,0.4578039443517292
1,107,Pickens,Pickens County,Alabama,AL,2282.674053,19016.0390625,96.23140716552734,3.429511785507202,8.330597632854417,0.31640864166838745
1,109,Pike,Pike County,Alabama,AL,1740.64752,34394.328125,378.2389831542969,4.685258388519287,19.75950198406625,0.3955892458901415
1,111,Randolph,Randolph County,Alabama,AL,1503.615937,22913.509765625,100.16242980957031,3.523707151412964,15.23893781768622,0.257385903747941
1,113,Russell,Russell County,Alabama,AL,1660.622936,55215.4296875,563.9663696289062,5.523970603942871,33.24982962146682,0.38178893795523255
1,115,St. Clair,St. Clair County,Alabama,AL,1635.78681,93986.2421875,221.9036102294922,4.82742166519165,57.45629052205158,0.18260009488014084
1,117,Shelby,Shelby County,Alabama,AL,2034.134905,226207.8125,634.9297485351562,5.930184364318848,111.20590475291019,0.22869137707601603
1,119,Sumter,Sumter County,Alabama,AL,2340.898915,13176.8720703125,133.7191925048828,3.6388015747070312,5.62897952828198,0.40831338516634064
1,121,Talladega,Talladega County,Alabama,AL,1908.293036,81667.234375,250.47813415527344,4.817132472991943,42.79596101560159,0.2339073721006828
1,123,Tallapoosa,Tallapoosa County,Alabama,AL,1855.782851,41066.3125,172.64491271972656,4.270462989807129,22.12883499697778,0.27296553323188816
1,125,Tuscaloosa,Tuscaloosa County,Alabama,AL,3421.010003,209005.21875,910.1435546875,5.96430778503418,61.09459445214022,0.33193433119780913
1,127,Walker,Walker County,Alabama,AL,2048.686078,64431.0078125,142.0047607421875,4.265730381011963,31.449917341850554,0.19770142533240403
